host_rx_ms	timestamp_ms	seq	version	payload_size	status_flags	remote_control_flags	gimbal_mode	gimbal_motor_online_bitmap	can_link_bitmap	gimbal_cmd_yaw_deg	gimbal_cmd_pitch_deg	gimbal_cmd_chassis_rotate_wz	gimbal_yaw_target_deg	gimbal_yaw_actual_deg	gimbal_yaw_error_deg	gimbal_yaw_target_deg_s	gimbal_yaw_actual_deg_s	gimbal_yaw_speed_error_deg_s	gimbal_pitch_target_deg	gimbal_pitch_actual_deg	gimbal_pitch_error_deg	gimbal_pitch_target_deg_s	gimbal_pitch_actual_deg_s	gimbal_pitch_speed_error_deg_s	imu_pitch_deg	imu_yaw_deg	imu_roll_deg	imu_gyro_x_deg_s	imu_gyro_y_deg_s	imu_gyro_z_deg_s	vision_meta_flags	vision_recv_sp_mode	vision_send_sp_mode	vision_recv_yaw_raw_rad	vision_recv_yaw_raw_deg	vision_recv_yaw_vel_raw_rad_s	vision_recv_yaw_vel_raw_deg_s	vision_recv_yaw_acc_raw_rad_s2	vision_recv_yaw_acc_raw_deg_s2	vision_recv_pitch_raw_rad	vision_recv_pitch_raw_deg	vision_recv_pitch_vel_raw_rad_s	vision_recv_pitch_vel_raw_deg_s	vision_recv_pitch_acc_raw_rad_s2	vision_recv_pitch_acc_raw_deg_s2	vision_send_q0	vision_send_q1	vision_send_q2	vision_send_q3	vision_send_yaw_raw_rad	vision_send_yaw_raw_deg	vision_send_yaw_vel_raw_rad_s	vision_send_yaw_vel_raw_deg_s	vision_send_pitch_raw_rad	vision_send_pitch_raw_deg	vision_send_pitch_vel_raw_rad_s	vision_send_pitch_vel_raw_deg_s	vision_send_bullet_speed_mps	vision_send_bullet_count	shoot_bullet_speed	shoot_rest_heat	shoot_rate	shoot_loader_speed_aps	shoot_friction_l_speed_aps	shoot_friction_r_speed_aps	chassis_cmd_vx	chassis_cmd_vy	chassis_cmd_wz
1789546901485	4795	179	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901509	4818	180	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901532	4841	181	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901557	4864	182	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901581	4887	183	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901606	4910	184	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901625	4933	185	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901651	4956	186	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901670	4979	187	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901696	5002	188	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901716	5025	189	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-509.799987793	0	-509.799987793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901739	5048	190	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-509.799987793	0	-509.799987793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901763	5071	191	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504.196594238	0	-504.196594238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901786	5094	192	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504.196594238	0	-504.196594238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901810	5117	193	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504.196594238	0	-504.196594238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901833	5140	194	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504.006530762	0	-504.006530762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
